,Unnamed: 0,Double record?,qid,Sarwiki,P418,P34,Unnamed: 5,Unnamed: 6,Senwiki,P671,P34.1,Wikidata_qid,Wikidata2,Len,Den,P2,P2.1,P131,P131.1,lat_lon_P48,P670,qal18,wik_en_x,sv.wiki,wik_tr_x,Description,anc_name_x,lat_wgs1984_x,lon_wgs1984_x,accuracy_x,qid.1,"cdli_legacy_""Len""",cdli_provenience_id_P694,transciption_name,language,tr_name,ara_name_x,arm_name_x,fas_name_x,geo_name_x,gre_name_x,heb_name_x,rus_name_x,pleiades_id_P671,osm_id,osm_type,site_id_x,geonames_id,Unnamed: 47,wik_ara_x,wik_fas_x,wik_gre_x,wik_heb_x,wik_en.1,lan,qid.2,"qid,Len,Lfr,Lde,Den,P2,P2,P131,P131,P48,P670,qal18",place,link,placeLabel,site_id_y,cdli_provenience_id,accuracy_y,anc_name_y,transc_name,ara_name_y,arm_name_y,fas_name_y,geo_name_y,gre_name_y,heb_name_y,rus_name_y,legacy_name,pleiades_url,osm_url,geonames_url,wik_en_y,wik_ara_y,wik_fas_y,wik_gre_y,wik_heb_y,wik_tr_y,rla_url,wikidata_url,lon_wgs1984_y,lat_wgs1984_y,geometry,_merge
0,521.0,,Q390093,,,,,,,,,,,Adalar,ancient location and modern archaeological excavation site,Q8,Q389596,Q389595,Q389597,@39.124/42.5142,Adalar,Q246325,,,,ancient location and modern archeologoical excavation site,Unknown,39.124,42.5142,2.0,Q390093,,,Adalar,Turkish,,,,,,,,,,8111965224.0,node,ADA,,,,,,,,,,",""Adalar"",""Adalar"",""Adalar"",""ancient location and modern archaeological excavation site"",Q8,Q389596,Q389595,Q389597,@39.124/42.5142,""""""Adalar"""""",Q246325",,,,ADA,0,2,,Adalar,,,,,,,,,https://pleiades.stoa.org/places/706269691,https://www.openstreetmap.org/node/8111965224,,,,,,,,,,42.5142,39.1240,,both
1,150.0,,Q389603,أداب_(مدينة),,,,, Adab (city) ,787747618.0,ar:بسمايا,Q346445,,Adab,ancient location and modern archaeological excavation site,Q8,Q389596,Q389595,Q389597,@31.9509/45.6233,Bismāyā,Q389598,https://en.wikipedia.org/wiki/Adab_(city),,,city in acnient Sumer,Adab,31.9509,45.6233,3.0,Q389603,"""Adab (mod. Bismaya)""","""""""""252""""""""",Bismāyā,Arabic,,بسمايا,,,,,,,787747618.0,2482344888.0,node,ADB,,Q346445,https://ar.wikipedia.org/wiki/أداب_(مدينة),,,,https://en.wikipedia.org/wiki/Adab_(city),,,"Q389603,""Adab"",""Adab"",""Adab"",""ancient location and modern archaeological excavation site"",Q8,Q389596,Q389595,Q389597,@31.9509/45.6233,""""""Bismāyā"""""",Q389598",Q389969,Q253208,Dur-Sharrukin,ADB,252,3,Adab,Bismāyā,بسمايا,,,,,,,Adab (mod. Bismaya),https://pleiades.stoa.org/places/787747618,https://www.openstreetmap.org/node/2482344888,,https://en.wikipedia.org/wiki/Adab_(city),https://ar.wikipedia.org/wiki/أداب_(مدينة),,,,,,https://wikidata.org/wiki/Q346445,45.6233,31.9509,,both
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADH,0,3,,Tall Abū al-Dhahab,تل أبو الذهب,,,,,,,,https://pleiades.stoa.org/places/533938999,,https://www.geonames.org/91040,,,,,,,,,46.6926,30.7382,,right_only
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADI,0,1,,Adilcevaz,,,,,,,,,https://pleiades.stoa.org/places/533939000,https://www.openstreetmap.org/node/10072716064,,https://en.wikipedia.org/wiki/Adilcevaz,,,,,https://tr.wikipedia.org/wiki/Adilcevaz,,https://wikidata.org/wiki/Q357251,42.7291,38.8014,,right_only
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFA,0,3,,Tulūl al-Fāj,تلول الفاج,,,,,,,,https://pleiades.stoa.org/places/298059636,https://www.openstreetmap.org/node/2480233005,,,,,,,,,,45.0956,32.5741,,right_only
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFI,0,3,,Tall Āfis,تل افس,,,,,,,,https://pleiades.stoa.org/places/725486993,https://www.openstreetmap.org/way/686673979,,https://en.wikipedia.org/wiki/Tell_Afis,https://ar.wikipedia.org/wiki/تل_آفس,,,,,,https://wikidata.org/wiki/Q7697374,36.7988,35.9039,,right_only
6,61.0,,Q389852,تل_أغرب,,,,, Tell Agrab ,171585551.0,ar:تل اجرب,,,Tall Ajrab,ancient location and modern archaeological excavation site,Q8,Q389596,Q389595,Q389597,@33.3391/44.8742,Tall Ajrab,Q389598,https://en.wikipedia.org/wiki/Tell_Agrab,,,ancient location and modern archeologoical excavation site,Unknown,33.3391,44.8742,3.0,Q389852,"""uncertain (mod. Tell Agrab)""","""""""""102""""""""",Tall Ajrab,Arabic,,تل اجرب,,,,,,,171585551.0,,,AGR,,,https://ar.wikipedia.org/wiki/تل_أغرب,,,,https://en.wikipedia.org/wiki/Tell_Agrab,,,",""Tall Ajrab"",""Tall Ajrab"",""Tall Ajrab"",""ancient location and modern archaeological excavation site"",Q8,Q389596,Q389595,Q389597,@33.3391/44.8742,""""""Tall Ajrab"""""",Q389598",,,,AGR,102,3,,Tall Ajrab,تل اجرب,,,,,,,uncertain (mod. Tell Agrab),https://pleiades.stoa.org/places/171585551,,,https://en.wikipedia.org/wiki/Tell_Agrab,https://ar.wikipedia.org/wiki/تل_أغرب,,,,,,https://wikidata.org/wiki/Q1612336,44.8742,33.3391,,both
7,325.0,,Q390110,,324757.0,,Strwiki,Akdamar Adası, Akdamar Island ,,,Q32083,,Ahtamar,ancient location and modern archaeological excavation site,Q8,Q389596,Q389595,Q389597,@38.3401/43.037,Ahtamar,Q246325,https://en.wikipedia.org/wiki/Akdamar_Island,,https://tr.wikipedia.orgwiki/Akdamar_Adası,ancient location and modern archeologoical excavation site,Unknown,38.3401,43.037,2.0,Q390110,,,Ahtamar,Turkish,,,,,,,,,,191563482.0,way,AHT,324757.0,Q32083,,,,,https://en.wikipedia.org/wiki/Akdamar_Island,,,",""Ahtamar"",""Ahtamar"",""Ahtamar"",""ancient location and modern archaeological excavation site"",Q8,Q389596,Q389595,Q389597,@38.3401/43.037,""""""Ahtamar"""""",Q246325",Q390005,Q740104,Qal’at al Bahrain,AHT,0,2,,Ahtamar,,,,,,,,,https://pleiades.stoa.org/places/359852689,https://www.openstreetmap.org/way/191563482,https://www.geonames.org/324757,https://en.wikipedia.org/wiki/Akdamar_Island,,,,,https://tr.wikipedia.org/wiki/Akdamar_Adası,,,43.0370,38.3401,,both
8,401.0,,Q389726,,,fa:عین الروم,,,P671,874307.0,,,,‘Ayn-i Rūm,ancient location and modern archaeological excavation site,Q8,Q389596,Q389595,Q389597,@37.1837/45.132,‘Ayn-i Rūm,Q389601,,,,ancient location and modern archeologoical excavation site,Unknown,37.1837,45.132,1.0,Q389726,,,‘Ayn-i Rūm,Farsi,,,,عین الروم,,,,,874307.0,,,AIR,,,,,,,,,,",""‘Ayn-i Rūm"",""‘Ayn-i Rūm"",""‘Ayn-i Rūm"",""ancient location and modern archaeological excavation site"",Q8,Q389596,Q389595,Q389597,@37.1837/45.132,""""""‘Ayn-i Rūm"""""",Q389601",,,,AIR,0,1,,‘Ayn-i Rūm,,,عین الروم,,,,,,https://pleiades.stoa.org/places/622816458,,,,,,,,,,,45.1320,37.1837,,both
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AJA,0,3,,Abū Jāmūs,ابو جاموس,,,,,,,Abu Jamous,https://pleiades.stoa.org/places/903251933,https://www.openstreetmap.org/node/2486175069,https://www.geonames.org/6787705,,,,,,,,,44.8225,32.4605,,right_only
