,ancientplace,coord,romanscript,namehistory,cdli2,pleiades,Unnamed: 0,Double record?,qid,Sarwiki,P418,P34,Unnamed: 5,Unnamed: 6,Senwiki,P671,P34.1,Wikidata_qid,Wikidata2,Len,Den,P2,P2.1,P131,P131.1,lat_lon_P48,P670,qal18,wik_en_x,sv.wiki,wik_tr_x,Description,anc_name_x,lat_wgs1984,lon_wgs1984,accuracy_x,qid.1,"cdli_legacy_""Len""",cdli_provenience_id_P694,transciption_name,language,tr_name,ara_name_x,arm_name_x,fas_name_x,geo_name_x,gre_name_x,heb_name_x,rus_name_x,pleiades_id_P671,osm_id_x,osm_type_x,site_id_x,geonames_id_x,Unnamed: 47,wik_ara_x,wik_fas_x,wik_gre_x,wik_heb_x,wik_en.1,lan,qid.2,"qid,Len,Lfr,Lde,Den,P2,P2,P131,P131,P48,P670,qal18",place,link,placeLabel,site_id_y,cdli_provenience_id,accuracy_y,anc_name_y,transc_name,ara_name_y,arm_name_y,fas_name_y,geo_name_y,gre_name_y,heb_name_y,rus_name_y,pleiades_id,osm_id_y,osm_type_y,geonames_id_y,cdli_legacy,wik_en_y,wik_ara_y,wik_fas_y,wik_gre_y,wik_heb_y,wik_tr_y,geometry,_merge
2,https://database.factgrid.de/entity/Q389898,Point(40.0399 36.8268),Tall Ḥalaf,تل حلف,,874739.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
4,https://database.factgrid.de/entity/Q389891,Point(40.5872 36.7381),Tall Baiydar,تل بيدر,260.0,423885388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
8,https://database.factgrid.de/entity/Q389896,Point(40.8887 34.5504),Tall Ḥarīrī,تل حريري,161.0,286681704.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
11,https://database.factgrid.de/entity/Q389894,Point(45.0563 34.1928),Tall Ḥadād,تل حداد,149.0,894042.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
23,https://database.factgrid.de/entity/Q390166,Point(58.6555 51.2297),Novy Kumak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
38,https://database.factgrid.de/entity/Q390113,Point(43.0669 38.8107),Arinçkus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
39,https://database.factgrid.de/entity/Q390161,Point(45.3689 32.1529),Irisagrig,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
40,https://database.factgrid.de/entity/Q390167,Point(62.0377 38.2129),Goňur depe,,,391537222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
85,https://database.factgrid.de/entity/Q389713,Point(48.5684 32.0686),Dah-i Nū,دە نو,206.0,903011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
86,https://database.factgrid.de/entity/Q389712,Point(69.1954 34.5153),Chaman-i Ḥaz̤ūrī,چمن حضوری,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
89,https://database.factgrid.de/entity/Q389752,Point(45.1383 40.3547),Gavaṛ,,,863819.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
95,https://database.factgrid.de/entity/Q389710,Point(48.5555 32.224),Chughā Mīsh,چغامیش,137.0,912829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
107,https://database.factgrid.de/entity/Q389777,Point(44.7947 32.7029),Tall Barguthiat,,361.0,894000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
116,https://database.factgrid.de/entity/Q389773,Point(43.4612 35.2652),Tall al-Farḥa,,428.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
119,https://database.factgrid.de/entity/Q389707,Point(48.4862 32.1851),Chughā Pahn,چغاپهن,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
121,https://database.factgrid.de/entity/Q389790,Point(44.5828 33.3029),Ishẖālī,أشخالي,245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
122,https://database.factgrid.de/entity/Q389701,Point(52.4123 30.0119),Tal-I Malyān,تل ملیان,286.0,922729.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
127,https://database.factgrid.de/entity/Q389738,Point(48.0685 34.5183),Gūdīn Tapah,گودینتپه,97.0,903035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
132,https://database.factgrid.de/entity/Q389789,Point(38.4078 36.8484),Arslān Ṭash,أرسلان طاش,35.0,658399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
146,https://database.factgrid.de/entity/Q389796,Point(45.481 31.8383),Ishān Abū Ḥaṭab,إشان أبو حطب,314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
152,https://database.factgrid.de/entity/Q389767,Point(45.495 40.1537),Ōdzaberd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
155,https://database.factgrid.de/entity/Q389709,Point(48.5229 32.0078),Chughā Zanbīl,چغازنبیل,109.0,459393126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
164,https://database.factgrid.de/entity/Q389787,Point(45.9962 30.8169),Abū Shahraīn,أبو شهرين,59.0,912845.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
170,https://database.factgrid.de/entity/Q389747,Point(44.538 40.1405),Arin Berd,,,863785.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
177,https://database.factgrid.de/entity/Q389832,Point(46.1776 31.5591),Tall Tīlūh,تا تيلوه,88.0,912855.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
178,https://database.factgrid.de/entity/Q389620,Point(32.4914 30.2285),Kabrīt,كبريت,413.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
180,https://database.factgrid.de/entity/Q389616,Point(32.5332 25.5832),Ṭūd,طود,,786132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
183,https://database.factgrid.de/entity/Q389645,Point(34.7307 31.5474),Tel Hesi,,437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
187,https://database.factgrid.de/entity/Q389954,Point(40.5553 34.9738),Tall Masaikh,جبل مسئخ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
188,https://database.factgrid.de/entity/Q389903,Point(45.2922 32.0591),Tall Dariyhim,تل دريهم,160.0,359215729.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
191,https://database.factgrid.de/entity/Q389955,Point(35.646 34.1191),Jibaīl,جبيل,47.0,668216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
200,https://database.factgrid.de/entity/Q389940,Point(38.1126 35.9876),Tall Maskanah,تل مسكنة,143.0,279984092.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
209,https://database.factgrid.de/entity/Q389967,Point(41.5866 34.4611),Khirbat al-Diniyah,خربة الدينية,276.0,894003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
214,https://database.factgrid.de/entity/Q389998,Point(50.5256 26.1517),‘Ālī,عالي,376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
219,https://database.factgrid.de/entity/Q390001,Point(43.2611 35.4557),Qalʻat Shirqāṭ,قاعة شرقط,211.0,893945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
220,https://database.factgrid.de/entity/Q390001,Point(43.2611 35.4557),Qalʻat Shirqāṭ,قاعة شرقط,205.0,893945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
226,https://database.factgrid.de/entity/Q389969,Point(43.2347 36.5035),Khūrsabāṭ,خورسباط,290.0,874458.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
229,https://database.factgrid.de/entity/Q389938,Point(36.7983 35.799),Tall Mardīkh,تل مرديخ,79.0,869702586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
